BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
TQBR,2014-07-28,ГАЗПРОМ ао,GAZP,39961,5948981163.4,134.54,130.9,134.73,132.0,132.48,132.0,44904250,132.48,132.48,132.48,5947396282.2,5947396282.2,5947396282.2,
TQBR,2014-07-29,ГАЗПРОМ ао,GAZP,38600,4871728490.2,132.08,130.55,133.73,131.31,132.15,131.31,36865680,132.15,132.15,132.15,4867322301.4,4867322301.4,4867322301.4,
TQBR,2014-07-30,ГАЗПРОМ ао,GAZP,39640,5699315652.3,130.47,130.1,135.41,133.4,133.76,133.4,42608490,133.76,133.76,133.76,5697032427.3,5697032427.3,5697032427.3,
TQBR,2014-07-31,ГАЗПРОМ ао,GAZP,37623,5473031665.5,134.12,131.21,135.0,132.0,132.88,132.0,41187230,132.88,132.88,132.88,5471013159.5,5471013159.5,5471013159.5,
TQBR,2014-08-01,ГАЗПРОМ ао,GAZP,29398,4164787329.3,130.95,130.21,131.99,131.5,131.13,131.5,31759700,131.13,131.13,131.13,4161724408.8,4161724408.8,4161724408.8,
TQBR,2014-08-04,ГАЗПРОМ ао,GAZP,40238,5800246719.4,132.0,128.25,132.79,129.5,130.24,129.5,44534400,130.24,130.24,130.24,5798488479.4,5798488479.4,5798488479.4,
TQBR,2014-08-05,ГАЗПРОМ ао,GAZP,40424,5927059510.1,129.99,126.28,130.1,126.57,127.65,126.57,46432510,127.65,127.65,127.65,5922346072.7,5922346072.7,5922346072.7,
TQBR,2014-08-06,ГАЗПРОМ ао,GAZP,54259,8516305360.6,126.11,123.23,126.5,124.7,124.59,124.7,68355310,124.59,124.59,124.59,8512438828.0,8512438828.0,8512438828.0,
TQBR,2014-08-07,ГАЗПРОМ ао,GAZP,56882,8035675333.8,124.02,122.79,128.77,126.92,125.12,126.92,64225030,125.12,125.12,125.12,8033439253.2,8033439253.2,8033439253.2,
TQBR,2014-08-08,ГАЗПРОМ ао,GAZP,67693,7208992963.7,126.48,126.33,129.37,126.55,128.09,126.55,56280080,128.09,128.09,128.09,7205951119.7,7205951119.7,7205951119.7,
TQBR,2014-08-11,ГАЗПРОМ ао,GAZP,51576,5563041254.1,128.01,127.84,130.45,128.3,128.94,128.3,43145400,128.94,128.94,128.94,5552326817.1,5552326817.1,5552326817.1,
TQBR,2014-08-12,ГАЗПРОМ ао,GAZP,34979,4899509934.0,128.95,127.24,129.95,128.0,128.44,128.0,38147150,128.44,128.44,128.44,4898088905.0,4898088905.0,4898088905.0,
TQBR,2014-08-13,ГАЗПРОМ ао,GAZP,47362,7484888814.2,127.8,127.7,131.84,131.0,130.43,131.0,57387480,130.43,130.43,130.43,7482796728.2,7482796728.2,7482796728.2,
TQBR,2014-08-14,ГАЗПРОМ ао,GAZP,36250,5702388599.6,131.2,130.34,132.49,131.41,131.35,131.41,43412620,131.35,131.35,131.35,5701096279.6,5701096279.6,5701096279.6,
TQBR,2014-08-15,ГАЗПРОМ ао,GAZP,31793,5645222591.1,131.02,130.62,133.47,132.67,132.28,132.67,42674890,132.29,132.29,132.29,5634948002.7,5634948002.7,5634948002.7,
TQBR,2014-08-18,ГАЗПРОМ ао,GAZP,24659,3819335867.5,132.82,132.11,134.4,134.29,133.55,134.29,28598600,133.55,133.55,133.55,3817576002.5,3817576002.5,3817576002.5,
TQBR,2014-08-19,ГАЗПРОМ ао,GAZP,34990,5236730805.7,134.29,134.28,136.4,136.2,135.51,136.2,38645630,135.51,135.51,135.51,5235173041.7,5235173041.7,5235173041.7,
TQBR,2014-08-20,ГАЗПРОМ ао,GAZP,21313,3050935774.3,136.2,135.16,136.8,136.7,136.09,136.7,22419120,136.09,136.09,136.09,3050205742.3,3050205742.3,3050205742.3,
TQBR,2014-08-21,ГАЗПРОМ ао,GAZP,34272,4764128532.0,136.51,135.55,137.69,136.49,136.65,136.49,34863190,136.65,136.65,136.65,4761672717.1,4761672717.1,4761672717.1,
TQBR,2014-08-22,ГАЗПРОМ ао,GAZP,33807,5169448385.9,136.56,134.0,137.2,135.0,135.07,135.0,38272800,135.07,135.07,135.07,5169085136.3,5169085136.3,5169085136.3,
TQBR,2014-08-25,ГАЗПРОМ ао,GAZP,21123,2261117318.6,135.06,135.0,136.46,136.09,135.89,136.09,16639450,135.89,135.89,135.89,2258883426.2,2258883426.2,2258883426.2,
TQBR,2014-08-26,ГАЗПРОМ ао,GAZP,25386,3691233173.1,136.19,134.71,136.99,135.0,135.93,135.0,27154630,135.93,135.93,135.93,3691211382.7,3691211382.7,3691211382.7,
TQBR,2014-08-27,ГАЗПРОМ ао,GAZP,23629,3397133661.4,135.9,135.12,136.67,135.51,135.94,135.51,24990540,135.94,135.94,135.94,3394801617.4,3394801617.4,3394801617.4,
TQBR,2014-08-28,ГАЗПРОМ ао,GAZP,43025,6352776119.9,135.51,131.94,135.74,133.8,133.38,133.8,47627370,133.38,133.38,133.38,6351250277.3,6351250277.3,6351250277.3,
TQBR,2014-08-29,ГАЗПРОМ ао,GAZP,30806,4749572569.8,133.5,131.81,134.17,131.95,132.93,131.95,35728900,132.93,132.93,132.93,4746467359.8,4746467359.8,4746467359.8,
TQBR,2014-09-01,ГАЗПРОМ ао,GAZP,38658,5530810751.5,132.71,131.0,134.75,132.32,132.91,132.32,41613580,132.91,132.91,132.91,5529457109.5,5529457109.5,5529457109.5,
TQBR,2014-09-02,ГАЗПРОМ ао,GAZP,22069,3381374723.8,132.68,131.34,133.32,133.32,132.38,133.32,25543730,132.38,132.38,132.38,3380808180.2,3380808180.2,3380808180.2,
TQBR,2014-09-03,ГАЗПРОМ ао,GAZP,66694,8868576725.8,133.42,133.33,139.63,138.26,137.51,138.26,64491970,137.52,137.52,137.52,8864675525.0,8864675525.0,8864675525.0,
TQBR,2014-09-04,ГАЗПРОМ ао,GAZP,39339,5974666515.2,138.3,136.8,139.29,138.15,137.95,138.15,43311610,137.95,137.95,137.95,5972795316.2,5972795316.2,5972795316.2,
TQBR,2014-09-05,ГАЗПРОМ ао,GAZP,37383,5172057768.9,137.28,136.36,140.13,139.0,138.78,139.0,37267050,138.79,138.79,138.79,5163311660.1,5163311660.1,5163311660.1,
TQBR,2014-09-08,ГАЗПРОМ ао,GAZP,29653,4349613611.1,138.79,136.87,139.38,139.0,138.28,139.0,31454520,138.28,138.28,138.28,4346972437.4,4346972437.4,4346972437.4,
TQBR,2014-09-09,ГАЗПРОМ ао,GAZP,26795,3719342102.0,139.29,138.86,140.82,139.02,139.76,139.02,26611960,139.76,139.76,139.76,3713441777.6,3713441777.6,3713441777.6,
TQBR,2014-09-10,ГАЗПРОМ ао,GAZP,21395,2835967889.2,138.39,137.62,139.4,139.2,138.74,139.2,20441450,138.74,138.74,138.74,2832769696.3,2832769696.3,2832769696.3,
TQBR,2014-09-11,ГАЗПРОМ ао,GAZP,38455,4768604028.4,139.69,136.51,140.28,136.65,137.98,136.65,34559170,137.98,137.98,137.98,4758208298.6,4758208298.6,4758208298.6,
TQBR,2014-09-12,ГАЗПРОМ ао,GAZP,33961,4808871662.2,136.5,136.0,138.56,137.56,137.44,137.56,34988310,137.44,137.44,137.44,4801891052.2,4801891052.2,4801891052.2,
TQBR,2014-09-15,ГАЗПРОМ ао,GAZP,40490,5545696158.0,137.26,135.35,138.12,136.0,136.2,136.0,40717130,136.2,136.2,136.2,5544282380.0,5544282380.0,5544282380.0,
TQBR,2014-09-16,ГАЗПРОМ ао,GAZP,44386,5576171161.8,136.01,135.26,139.58,138.56,137.92,138.56,40431640,137.92,137.92,137.92,5575950825.6,5575950825.6,5575950825.6,
TQBR,2014-09-17,ГАЗПРОМ ао,GAZP,35138,5456884601.4,138.5,136.05,139.34,137.0,137.25,137.0,39757700,137.25,137.25,137.25,5450736586.4,5450736586.4,5450736586.4,
TQBR,2014-09-18,ГАЗПРОМ ао,GAZP,24467,4024999407.9,137.25,136.51,138.4,138.2,137.62,138.2,29247410,137.62,137.62,137.62,4024657655.4,4024657655.4,4024657655.4,
TQBR,2014-09-19,ГАЗПРОМ ао,GAZP,42279,6151334689.3,138.0,134.48,138.0,135.99,136.38,135.99,45103990,136.38,136.38,136.38,6149049409.3,6149049409.3,6149049409.3,
TQBR,2014-09-22,ГАЗПРОМ ао,GAZP,27142,3701730028.5,135.76,134.6,136.83,135.05,135.8,135.05,27258240,135.8,135.8,135.8,3700175576.5,3700175576.5,3700175576.5,
TQBR,2014-09-23,ГАЗПРОМ ао,GAZP,27323,3971163511.0,135.55,135.47,137.2,136.5,136.27,136.5,29141830,136.27,136.27,136.27,3967368111.0,3967368111.0,3967368111.0,
TQBR,2014-09-24,ГАЗПРОМ ао,GAZP,28081,4450427006.6,136.99,136.88,138.65,137.8,137.9,137.8,32271690,137.91,137.91,137.91,4448911897.2,4448911897.2,4448911897.2,
TQBR,2014-09-25,ГАЗПРОМ ао,GAZP,25655,4350884089.8,138.28,136.52,138.96,136.92,138.07,136.92,31511120,138.07,138.07,138.07,4349534477.0,4349534477.0,4349534477.0,
TQBR,2014-09-26,ГАЗПРОМ ао,GAZP,30931,4778087287.7,136.51,135.71,137.95,137.11,136.81,137.11,34925980,136.81,136.81,136.81,4773798143.5,4773798143.5,4773798143.5,
TQBR,2014-09-29,ГАЗПРОМ ао,GAZP,34813,5067872051.0,138.0,135.0,138.57,135.77,137.02,135.77,36985740,137.02,137.02,137.02,5060604971.0,5060604971.0,5060604971.0,
TQBR,2014-09-30,ГАЗПРОМ ао,GAZP,46974,6905059785.2,136.27,135.14,139.13,137.9,137.38,137.9,50261030,137.38,137.38,137.38,6904100444.4,6904100444.4,6904100444.4,
TQBR,2014-10-01,ГАЗПРОМ ао,GAZP,30126,5174974593.3,137.5,137.12,139.86,137.26,138.37,137.26,37398300,138.38,138.38,138.38,5169981968.3,5169981968.3,5169981968.3,
TQBR,2014-10-02,ГАЗПРОМ ао,GAZP,41368,5717475752.0,136.8,133.7,137.44,134.25,135.34,134.25,42243810,135.34,135.34,135.34,5706650768.0,5706650768.0,5706650768.0,
TQBR,2014-10-03,ГАЗПРОМ ао,GAZP,32107,4388627906.9,134.97,134.87,138.07,135.8,136.4,135.8,32174540,136.4,136.4,136.4,4378708961.6,4378708961.6,4378708961.6,
TQBR,2014-10-06,ГАЗПРОМ ао,GAZP,34497,5717171331.5,136.61,136.61,139.63,138.9,138.36,138.9,41322460,138.36,138.36,138.36,5716665874.5,5716665874.5,5716665874.5,
TQBR,2014-10-07,ГАЗПРОМ ао,GAZP,26921,3979566524.8,139.01,136.8,139.5,137.1,137.82,137.1,28875580,137.82,137.82,137.82,3979341328.6,3979341328.6,3979341328.6,
TQBR,2014-10-08,ГАЗПРОМ ао,GAZP,34019,4684094079.7,136.19,134.61,137.0,134.61,135.9,134.61,34466460,135.9,135.9,135.9,4669546263.9,4669546263.9,4669546263.9,
TQBR,2014-10-09,ГАЗПРОМ ао,GAZP,37865,5134300338.5,136.2,134.55,137.26,135.64,135.94,135.64,37768210,135.94,135.94,135.94,5132364936.5,5132364936.5,5132364936.5,
TQBR,2014-10-10,ГАЗПРОМ ао,GAZP,38884,5677475679.9,134.3,132.09,134.6,133.21,133.28,133.21,42598080,133.28,133.28,133.28,5657857135.9,5657857135.9,5657857135.9,
TQBR,2014-10-13,ГАЗПРОМ ао,GAZP,32352,4175994087.1,133.0,132.32,136.4,135.25,135.04,135.25,30923230,135.05,135.05,135.05,4172315307.1,4172315307.1,4172315307.1,
TQBR,2014-10-14,ГАЗПРОМ ао,GAZP,35289,4847741560.8,135.3,134.51,136.92,135.5,135.76,135.5,35709120,135.76,135.76,135.76,4847180065.8,4847180065.8,4847180065.8,
TQBR,2014-10-15,ГАЗПРОМ ао,GAZP,35379,4370181956.4,134.9,134.25,136.48,134.5,135.2,134.5,32324170,135.2,135.2,135.2,4367546010.4,4367546010.4,4367546010.4,
TQBR,2014-10-16,ГАЗПРОМ ао,GAZP,50852,6426483004.3,135.0,131.93,135.59,132.41,133.93,132.41,47983260,133.93,133.93,133.93,6423388804.3,6423388804.3,6423388804.3,
TQBR,2014-10-17,ГАЗПРОМ ао,GAZP,33943,4043868027.2,133.5,133.01,135.4,134.6,134.46,134.6,30074200,134.46,134.46,134.46,4041143292.2,4041143292.2,4041143292.2,
TQBR,2014-10-20,ГАЗПРОМ ао,GAZP,36815,4320487086.2,135.2,133.14,136.18,134.1,134.52,134.1,32118700,134.52,134.52,134.52,4318122438.2,4318122438.2,4318122438.2,
TQBR,2014-10-21,ГАЗПРОМ ао,GAZP,29450,3333233335.3,134.0,132.94,134.95,134.0,134.14,134.0,24848020,134.14,134.14,134.14,3332594155.3,3332594155.3,3332594155.3,
TQBR,2014-10-22,ГАЗПРОМ ао,GAZP,35874,4329093979.6,134.51,132.25,134.66,133.5,133.45,133.5,32439110,133.45,133.45,133.45,4325167632.7,4325167632.7,4325167632.7,
TQBR,2014-10-23,ГАЗПРОМ ао,GAZP,38485,4808424492.9,132.51,131.42,134.15,133.5,132.75,133.5,36223010,132.75,132.75,132.75,4802461542.9,4802461542.9,4802461542.9,
TQBR,2014-10-24,ГАЗПРОМ ао,GAZP,23148,3246171800.7,133.5,132.35,134.3,133.99,133.19,133.99,24372990,133.19,133.19,133.19,3245689865.7,3245689865.7,3245689865.7,
TQBR,2014-10-27,ГАЗПРОМ ао,GAZP,33579,4263702983.1,135.0,133.5,136.05,134.07,134.91,134.07,31605210,134.9,134.9,134.9,4253726483.1,4253726483.1,4253726483.1,
TQBR,2014-10-28,ГАЗПРОМ ао,GAZP,27201,3782634259.9,134.62,134.1,136.14,135.75,135.56,135.75,27903910,135.56,135.56,135.56,3780211099.9,3780211099.9,3780211099.9,
TQBR,2014-10-29,ГАЗПРОМ ао,GAZP,49926,6594814220.5,136.21,135.67,139.0,138.5,137.52,138.5,47956500,137.52,137.52,137.52,6594202637.6,6594202637.6,6594202637.6,
TQBR,2014-10-30,ГАЗПРОМ ао,GAZP,53358,7589500301.4,138.09,137.62,139.9,139.5,138.92,139.5,54633270,138.92,138.92,138.92,7585637924.1,7585637924.1,7585637924.1,
TQBR,2014-10-31,ГАЗПРОМ ао,GAZP,72794,10113564234.6,140.5,139.49,141.5,141.5,140.52,141.5,71971660,140.52,140.52,140.52,10095428494.6,10095428494.6,10095428494.6,
TQBR,2014-11-03,ГАЗПРОМ ао,GAZP,21927,2806437113.9,141.0,140.26,144.0,143.39,142.74,143.39,19660650,142.74,142.74,142.74,2805905543.9,2805905543.9,2805905543.9,
TQBR,2014-11-05,ГАЗПРОМ ао,GAZP,47150,6712207393.2,143.01,141.11,143.82,143.2,142.58,143.2,47075250,142.58,142.58,142.58,6697045473.0,6697045473.0,6697045473.0,
TQBR,2014-11-06,ГАЗПРОМ ао,GAZP,53731,8066683667.6,143.35,143.05,146.25,144.1,144.78,144.1,55716700,144.78,144.78,144.78,8065545468.6,8065545468.6,8065545468.6,
TQBR,2014-11-07,ГАЗПРОМ ао,GAZP,84648,12732566799.0,143.5,142.73,147.0,144.5,145.03,144.5,87793540,145.03,145.03,145.03,12715638104.0,12715638104.0,12715638104.0,
TQBR,2014-11-10,ГАЗПРОМ ао,GAZP,33569,4649038287.7,145.45,144.35,146.46,145.22,145.26,145.22,32004800,145.26,145.26,145.26,4645381674.7,4645381674.7,4645381674.7,
TQBR,2014-11-11,ГАЗПРОМ ао,GAZP,36740,5864693999.3,145.0,143.01,145.69,143.71,144.93,143.71,40466110,144.93,144.93,144.93,5857037999.3,5857037999.3,5857037999.3,
