,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
17,TQBR,2019-01-29,ГАЗПРОМ ао,GAZP,33010,3684877592.8,160.1,159.0,162.98,162.95,161.48,162.95,22819740,161.48,161.48,162.95,3684877592.8,3684877592.8,3684877592.8,
18,TQBR,2019-01-30,ГАЗПРОМ ао,GAZP,36301,4130105316.7,162.51,162.26,165.84,165.4,164.49,165.4,25112890,164.46,164.46,165.4,4130105316.7,4130105316.7,4130105316.7,
19,TQBR,2019-01-31,ГАЗПРОМ ао,GAZP,43268,5044344826.4,166.0,162.55,166.49,162.82,164.3,162.82,30703160,164.29,164.29,162.82,5044344826.4,5044344826.4,5044344826.4,
20,TQBR,2019-02-01,ГАЗПРОМ ао,GAZP,28487,3771220988.4,162.49,161.75,164.37,163.33,163.3,163.33,23094500,163.3,163.3,163.33,3771220988.4,3771220988.4,3771220988.4,
21,TQBR,2019-02-04,ГАЗПРОМ ао,GAZP,17381,1877616878.5,163.49,162.81,165.0,163.2,163.79,163.2,11463210,163.8,163.8,163.2,1877616878.5,1877616878.5,1877616878.5,
22,TQBR,2019-02-05,ГАЗПРОМ ао,GAZP,21179,2252485272.5,163.45,162.54,165.43,164.25,164.3,164.25,13709520,164.3,164.3,164.25,2252485272.5,2252485272.5,2252485272.5,
23,TQBR,2019-02-06,ГАЗПРОМ ао,GAZP,12857,1564647550.8,164.41,163.07,164.67,163.21,163.79,163.21,9553310,163.78,163.78,163.21,1564647550.8,1564647550.8,1564647550.8,
24,TQBR,2019-02-07,ГАЗПРОМ ао,GAZP,36248,3785574726.1,162.89,159.1,163.44,160.39,160.84,160.39,23537340,160.83,160.83,160.39,3785574726.1,3785574726.1,3785574726.1,
25,TQBR,2019-02-08,ГАЗПРОМ ао,GAZP,27271,3103277835.5,159.16,158.11,161.36,159.8,159.8,159.8,19420820,159.79,159.79,159.8,3103277835.5,3103277835.5,3103277835.5,
26,TQBR,2019-02-11,ГАЗПРОМ ао,GAZP,23147,3083875391.0,160.4,160.18,162.3,161.29,161.23,161.29,19127420,161.23,161.23,161.29,3083875391.0,3083875391.0,3083875391.0,
